## THIS IS A LIST OF RULES FOR THE RESOLUTION OF TITLI IN CHURCH SLAVONIC
## LINES BEGINNING WITH # ARE IGNORED
## COLUMNS ARE SEPARATED BY TAB
## Symbol "." (dot) in pattern means that word break is required here
гг҃л	нгел
Ѻ҆ц҃е́	Ѻ҆тце́
ѻ҆ц҃ꙋ̀	ѻ҆тцꙋ̀
Ѻ҆ц҃ꙋ̀	Ѻ҆тцꙋ̀
ѻ҆ц҃ꙋ́	ѻ҆тцꙋ́
Ѻ҆ц҃ꙋ́	Ѻ҆тцꙋ́
ѻ҆ц҃ъ	ѻ҆те́цъ
Ѻ҆ц҃ъ	Ѻ҆те́цъ
ѻ҆ц҃ы̀	ѻ҆тцы̀
Ѻ҆ц҃ы̀	Ѻ҆тцы̀
ѻ҆ц҃ѣ̀	ѻ҆тцѣ̀
Ѻ҆ц҃ѣ̀	Ѻ҆тцѣ̀
ѻ҆ч҃ес	ѻ҆те́чес
Ѻ҆ч҃ес	Ѻ҆те́чес
ѻ҆ч҃єс	ѻ҆те́чєс
Ѻ҆ч҃єс	Ѻ҆те́чєс
ѻ҆ч҃е	ѻ҆́тче
Ѻ҆ч҃е	Ѻ҆тче
ѻ҆ч҃с	ѻ҆те́чес
Ѻ҆ч҃с	Ѻ҆те́чес
ѻ҆ч҃ь	ѻ҆те́чь
Ѻ҆ч҃ь	Ѻ҆те́чь
ѻ҆́ч҃а	ѻ҆́тча
Ѻ҆́ч҃а	Ѻ҆́тча
ѻ҆́ч҃ес	ѻ҆́течес
Ѻ҆́ч҃ес	Ѻ҆́течес
ѻ҆́ч҃е	ѻ҆́тче
Ѻ҆́ч҃е	Ѻ҆́тче
Ѻ҆́ч҃е	Ѻ҆́тче
ѻ҆́ч҃и	ѻ҆́тчи
Ѻ҆́ч҃и	Ѻ҆́тчи
ѻ҆́ч҃ї	ѻ҆́тчї
Ѻ҆́ч҃ї	Ѻ҆́тчї
ѻ҆́ч҃ꙋ	ѻ҆́тчꙋ
Ѻ҆́ч҃ꙋ	Ѻ҆́тчꙋ
ѻ҆́ч҃ь	ѻ҆́течь
Ѻ҆́ч҃ь	Ѻ҆́течь
ѡⷮ	ѿ
ѡ҆сщ҃а́	ѡ҆свѧща́
Ѡ҆сщ҃а́	Ѡ҆свѧща́
ѡ҆чⷭ҇т	ѡ҆чи́ст
Ѡ҆чⷭ҇т	Ѡ҆чи́ст
ѻц҃а	ѻтца
Ѻц҃а	Ѻтца
ѻц҃є	ѻтцє
ѻ҆ц҃є́	ѻ҆тцє́
Ѻц҃є	Ѻтцє
ѻц҃ꙋ	ѻтцꙋ
Ѻц҃ꙋ	Ѻтцꙋ
ѻц҃ъ	ѻтецъ
Ѻц҃ъ	Ѻтецъ
ѻц҃ы	ѻтцы
Ѻц҃ы	Ѻтцы
ѻц҃ѣ	ѻтцѣ
Ѻц҃ѣ	Ѻтцѣ
ѻч҃е	ѻтече
Ѻч҃е	Ѻтече
ѻч҃є	ѻтечє
Ѻч҃є	Ѻтечє
ѻч҃и	ѻтчи
Ѻч҃и	Ѻтчи
ѻч҃ї	ѻтчї
Ѻч҃ї	Ѻтчї
ѻц҃ъ	ѻтецъ
Ѻц҃ъ	Ѻтецъ
пл҃т	пло́т
Пл҃т	Пло́т
поⷣ	подо́бенъ
Поⷣ	Подо́бенъ
првⷣ	пра́вед
Првⷣ	Пра́вед
пречⷭ҇т	пречи́ст
Пречⷭ҇т	Пречи́ст
мⷣр	му́др
прпⷣб	преподо́б
Прпⷣб	Преподо́б
пⷣб	подо́б
прпⷣн	преподо́бн
Прпⷣн	Преподо́бн
прⷣт	предт
Прⷣт	Предт
прⷪ҇рк	проро́к
Прⷪ҇рк	Проро́к
прⷪ҇р	прор
Прⷪ҇р	Прор
прⷭ҇н	присн
Прⷭ҇н	Присн
прⷭ҇т	прест
Прⷭ҇т	Прест
пѧⷦ҇	пѧто́къ
Пѧⷦ҇	Пѧто́къ
ржⷭ҇т	рождест
Ржⷭ҇т	Рождест
рожⷭ҇т	рождест
Рожⷭ҇т	Рождест
сл҃н	со́лн
Сл҃н	Со́лн
см҃рт	сме́рт
См҃рт	Сме́рт
сн҃а	сы́на
Сн҃а	Сы́на
сн҃е	сы́не
Сн҃е	Сы́не
сн҃є	сы́нє
Сн҃є	Сы́нє
сн҃о	сыно
Сн҃о	Сыно
сн҃ѡ	сынѡ
Сн҃ѡ	Сынѡ
сн҃ꙋ	сы́нꙋ
Сн҃ꙋ	Сы́нꙋ
сн҃ъ	сы́нъ
Сн҃ъ	Сы́нъ
сн҃ы	сы́ны
Сн҃ы	Сы́ны
сн҃ѣ	сы́нѣ
Сн҃ѣ	Сы́нѣ
сп҃са.	Cпа́са
сп҃са	спаса
сп҃се	Cпа́се
сп҃сѐ	спасѐ
сп҃се́	спасе́
сп҃сє́	спасє́
сп҃си	спаси
сп҃сл	спасл
сп҃со	спасо
сп҃сѡ	спасѡ
сп҃сс	спа́сс
сп҃ст	спаст
сп҃сꙋ	спасꙋ
сп҃сш	спа́сш
сп҃съ	Спа́съ
сп҃сы	спасы
сп҃сѣ	спа́сѣ
Сп҃с	Спас
спⷭ҇л	спа́сл
Cпⷭ҇л	Cпа́сл
спⷭ҇н	спасе́н
Cпⷭ҇н	Cпасе́н
спⷭ҇т	спаст
Cпⷭ҇т	Cпаст
спⷭ҇ш	спа́сш
Cпⷭ҇ш	Cпа́сш
срⷣц	се́рдц
Срⷣц	Се́рдц
стрⷭ҇ти	стра́сти
стрⷭ҇тї	стра́стї
стрⷭ҇ть	стра́сть
стрⷭ҇т	страст
Стрⷭ҇т	Стра́ст
ст҃а.	свѧ́та
ст҃а	свѧта
ст҃е	свѧ́те
ст҃и	свѧти
ст҃і	свѧті
ст҃л	свѧти́тел
ст҃о	свѧ́то
ст҃ѡ	свѧ́тѡ
ст҃ꙋ	свѧ́тꙋ
ст҃ъ	свѧ́тъ
ст҃ы	свѧты
ст҃ѣ	свѧтѣ
ст҃ѧ	свѧтѧ
Ст҃	Свѧт
сꙋⷠ҇	сꙋббо́та
Cꙋⷠ҇	Cꙋббо́та
сщ҃е	свѧще
сщ҃а	свѧща
сщ҃є	свѧщє
сщ҃ꙋ	свѧщꙋ
Сщ҃	Свѧщ
сⷯ	сти́хъ
трⷪ҇ц	Тро́иц
Трⷪ҇ц	Тро́иц
трⷪ҇ч	тро́ич
Трⷪ҇ч	Тро́ич
трⷭ҇т	трисвѧт
Трⷭ҇т	Трисвѧт
триⷤ	три́жды
Триⷤ	Три́жды
у҆чн҃и	у҆чени
Оу҆ч҃ни	Оу҆чени
у҆ч҃ни	у҆чени
Оу҆ч҃н	Оу҆чен
у҆ч҃н	у҆чен
Оу҆чн҃к	Оу҆ченик
у҆чн҃к	у҆ченик
Оу҆чн҃ц	Оу҆чениц
у҆чн҃ц	у҆чениц
Оу҆чт҃л	Оу҆чи́тел
у҆чт҃л	у҆чи́тел
Оу҆ч҃нї	Оу҆че́нї
у҆ч҃нї	у҆че́нї
Оу҆ч҃те	Оу҆чи́те
у҆ч҃те	у҆чи́те
Оу҆ч҃тл	Оу҆чите́л
у҆ч҃тл	у҆чите́л
хрⷭ҇т	Христ
Хрⷭ҇т	Христ
х҃с	Христо́съ
цр҃е	царе
Цр҃е	Царе
цр҃є	царє
Цр҃є	Царє
цр҃и	цари
Цр҃и	Цари
цр҃ї	ца́рї
Цр҃ї	Ца́рї
цр҃ква	це́рква
Цр҃ква	Це́рква
цр҃кве	церкве́
Цр҃кве	Церкве́
цр҃кви	це́ркви
Цр҃кви	Це́ркви
цр҃квь	це́рковь
Цр҃квь	Це́рковь
цр҃ков	це́рков
